averagenrmse,mean_CQ,median_CQ,std_CQ,var_CQ,amplitude_CQ,first_order_sensitivity_CQ,second_order_sensitivity_CQ,mean_MC,median_MC,std_MC,var_MC,amplitude_MC,first_order_sensitivity_MC,second_order_sensitivity_MC,mean_KR,median_KR,std_KR,var_KR,amplitude_KR,first_order_sensitivity_KR,second_order_sensitivity_KR,mean_GR,median_GR,std_GR,var_GR,amplitude_GR,first_order_sensitivity_GR,second_order_sensitivity_GR
1.228117071,0.842105263,1,2.978221969,8.869806094,11,-0.466666667,-0.020050125,4.87286303,4.898506556,0.168485945,0.028387514,0.573305893,0.02978314,0.00020844,28.68421053,29,3.961028994,15.68975069,13,-0.673684211,-0.004717677,27.84210526,27,1.348026155,1.817174515,4,-0.207017544,0.015332449
1.153712408,44.68421053,44,3.277557364,10.74238227,9,-0.533333333,0.031549462,5.444717156,5.510507157,0.123144403,0.015164544,0.339244703,0.020715154,-0.001379612,87.57894737,87,2.70118472,7.296398892,9,0.366666667,0.061845791,42.89473684,43,5.118539438,26.19944598,16,0.9,0.030296329
1.088637968,42.73684211,42,1.207088941,1.457063712,4,0.014035088,0.021082117,5.090417683,5.075235948,0.259649822,0.06741803,0.791271163,0.046778612,-0.000286444,71.94736842,71,3.051724003,9.313019391,11,0.533333333,0.019312988,29.21052632,29,2.948308121,8.692520776,9,0.519298246,-0.001769129
1.020907269,31.63157895,33,3.132352846,9.811634349,11,-0.554385965,-0.005454814,5.267759963,5.280618302,0.150672294,0.02270214,0.484048946,0.026904712,0.000433772,69.52631579,69,0.9385555,0.880886427,4,-0.042105263,0.02093469,37.89473684,37,2.989362489,8.936288089,10,0.512280702,0.026389503
0.996049345,3.263157895,3,4.821466312,23.2465374,16,-0.866666667,0.013268465,4.739216832,4.731808205,0.177069088,0.031353462,0.645112995,0.031778092,0.000463434,22.47368421,21,3.690220662,13.61772853,11,-0.650877193,0.025578653,19.21052632,19,1.398455816,1.95567867,5,0.215789474,0.012310187
0.88494679,28.21052632,28,1.575434689,2.48199446,5,0.098245614,0.036267138,5.020009219,5.141310611,0.357198895,0.12759105,1.308401346,-0.0303398,-0.008836106,52.94736842,53,2.372511088,5.628808864,7,0.40877193,0.01555359,24.73684211,26,1.99584055,3.983379501,6,0.310526316,-0.020713548
0.856286473,37.89473684,39,2.613622951,6.831024931,8,-0.389473684,-0.02771635,5.265205767,5.269197524,0.159313388,0.025380756,0.539571103,0.026968536,0.000100159,90.52631579,91,1.697317421,2.880886427,7,0.10877193,-0.041574525,52.63157895,52,3.132352846,9.811634349,11,0.498245614,-0.013858175
0.849495784,15.63157895,16,1.925193806,3.706371191,6,0.307017544,-0.024399233,4.627748491,4.64535109,0.384395421,0.14775984,1.199757925,0.064935158,0.000551258,35.68421053,35,4.691006306,22.00554017,15,0.850877193,-0.000958278,20.05263158,19,3.119947439,9.734072022,10,0.543859649,0.023440955
0.802191399,26.21052632,26,2.284477307,5.218836565,9,0.315789474,0.04127967,5.370660613,5.368166705,0.077423896,0.00599446,0.252941275,0.012779042,0.000337725,58.15789474,58,6.310085143,39.81717452,20,1.128070175,0.040173964,31.94736842,32,4.501154053,20.26038781,16,0.812280702,-0.001105705
0.800559534,40.73684211,40,4.722199591,22.29916898,16,0.024561404,0.155093616,4.612884293,4.625208917,0.15828224,0.025053267,0.539155206,0.026878522,-3.60E-05,147.1052632,148,4.203942221,17.67313019,13,0.735087719,-0.019239275,106.3684211,108,6.367768562,40.54847645,22,0.710526316,-0.174332889
0.757411763,51.26315789,53,10.24357105,104.9307479,33,-1.856140351,-0.019165561,4.30214889,4.330039413,0.146130946,0.021354253,0.518376101,0.007525541,0.00307527,142.1052632,143,4.800161585,23.04155125,14,0.863157895,-0.013415893,90.84210526,90,14.93234976,222.9750693,47,2.719298246,0.005749668
