mean,median,std,var,amplitude,first_order_sensitivity,second_order_sensitivity,averagenrmse
28.68421052631579,29.0,3.961028994153006,15.689750692520775,13.0,-0.6736842105263159,-0.004717676637865307,1.228117071
87.57894736842105,87.0,2.701184720075019,7.29639889196676,9.0,0.36666666666666664,0.06184579094591214,1.153712408
71.94736842105263,71.0,3.051724003015626,9.313019390581717,11.0,0.5333333333333333,0.019312988351097182,1.088637968
69.52631578947368,69.0,0.9385555000066846,0.8808864265927978,4.0,-0.042105263157894736,0.020934689663204886,1.020907269
22.473684210526315,21.0,3.69022066167539,13.617728531855954,11.0,-0.6508771929824559,0.025578652511512368,0.996049345
52.94736842105263,53.0,2.3725110883336096,5.6288088642659275,7.0,0.40877192982456134,0.01555358985484856,0.88494679
90.52631578947368,91.0,1.6973174206944315,2.8808864265927974,7.0,0.1087719298245614,-0.04157452454893229,0.856286473
35.68421052631579,35.0,4.691006306348883,22.005540166204987,15.0,0.850877192982456,-0.0009582780502446209,0.849495784
58.1578947368421,58.0,6.3100851432635565,39.81717451523546,20.0,1.1280701754385964,0.04017396432047815,0.802191399
147.10526315789474,148.0,4.20394222057176,17.673130193905816,13.0,0.7350877192982456,-0.019239274659454075,0.800559534
142.10526315789474,143.0,4.800161585461201,23.041551246537395,14.0,0.863157894736842,-0.013415892675068264,0.757411763
