variable,relative_importance,scaled_importance,percentage
second_order_sensitivity_CQ,2.003063201904297,1.0,0.1891243300408151
amplitude_CQ,1.0727651119232178,0.5355622882509888,0.10128785896059417
std_CQ,1.0721464157104492,0.5352534132178993,0.10122944317689479
first_order_sensitivity_MC,0.8362972140312195,0.4175091496045447,0.07896113820486997
amplitude_MC,0.7988505959510803,0.3988144733484291,0.07542552008260217
first_order_sensitivity_CQ,0.7877213358879089,0.39325835307594303,0.07437472255844205
var_CQ,0.6895161867141724,0.34423086903032046,0.06510243248472693
median_MC,0.6335051655769348,0.31626818613345115,0.059814008815712756
mean_MC,0.5778698325157166,0.288493060012455,0.05456105669628022
std_MC,0.5758199691772461,0.2874696957289308,0.054367513611771
second_order_sensitivity_MC,0.5648890733718872,0.28201260591021365,0.05333544515583357
mean_CQ,0.4122638404369354,0.205816691178291,0.03892494383031163
var_MC,0.38798147439956665,0.1936940751698277,0.036632262199368944
median_CQ,0.17856132984161377,0.08914413168384147,0.016859324181776717
