feature,pearson_r,spearman_rho
median_MC,-0.09262726423196016,-0.2677800838162702
mean_MC,-0.08355445436949693,-0.2584247456684266
amplitude_MC,0.06644285452131078,0.2169186679702472
median_CQ,-0.071145308307683,-0.21437280217001825
mean_CQ,-0.06871859517292901,-0.2131044933456318
std_MC,0.08407080957279933,0.1937938532526901
var_MC,0.040957097674997486,0.1937938532526901
first_order_sensitivity_CQ,0.019523975904291998,-0.10004611938331796
first_order_sensitivity_MC,0.06792928635656513,0.06901208950609991
std_CQ,-0.15123513241601824,-0.0527789677404136
var_CQ,-0.1270739849951578,-0.0527789677404136
second_order_sensitivity_CQ,-0.13394085187360574,-0.03821572123996845
amplitude_CQ,-0.1259701791026722,-0.01905155419384494
second_order_sensitivity_MC,0.06564183668058533,0.010705932739609772
