,mean,sd,cv_1_valid,cv_2_valid,cv_3_valid,cv_4_valid,cv_5_valid
aic,,0.0,,,,,
loglikelihood,,0.0,,,,,
mae,0.44699067,0.18416704,0.14755914,0.5769708,0.46461412,0.42995438,0.61585486
mean_residual_deviance,0.5911949,0.54205847,0.021773698,1.400764,0.3225316,0.35737988,0.8535255
mse,0.5911949,0.54205847,0.021773698,1.400764,0.3225316,0.35737988,0.8535255
r2,-inf,,-inf,-0.17751135,-8.87507,-0.7556363,-284.96173
residual_deviance,0.5911949,0.54205847,0.021773698,1.400764,0.3225316,0.35737988,0.8535255
rmse,0.6841387,0.39234737,0.14755914,1.1835388,0.56791866,0.5978126,0.9238644
rmsle,0.25629517,0.12008303,0.06641543,0.360996,0.2408544,0.2548239,0.35838616
