number,minnrmse,averagenrmse
301,0.564126329,1.228117071
302,0.565033231,1.153712408
303,0.56647924,1.088637968
304,0.571451529,1.020907269
9,0.579324027,0.996049345
305,0.579324027,0.996049345
306,0.589356119,0.88494679
289,0.601527262,0.856286473
307,0.601527262,0.856286473
308,0.605900303,0.849495784
229,0.609606493,1.296356076
309,0.61971139,0.802191399
152,0.624701885,1.13209329
175,0.636901148,2.181722123
281,0.650811764,0.92066462
249,0.652420389,0.95851136
310,0.68168996,0.800559534
196,0.69394984,0.949727431
311,0.704490721,0.757411763
226,0.726451208,3.253547861
286,0.768485299,4.25372123
203,0.778201294,3.661214949
266,0.805345239,0.830255915
215,0.816652699,15.3184999
218,0.818442654,1.118896801
111,0.826749057,0.984940533
234,0.832149939,1.087618782
157,0.839411037,0.888338399
164,0.839475566,1.511746031
250,0.839504915,0.905095118
93,0.843943388,0.895702804
7,0.844213923,0.932877402
90,0.844240633,0.849952711
231,0.845173727,0.869188534
221,0.84960574,0.850886762
104,0.85585925,1.081810388
238,0.859753996,0.871154464
76,0.860540394,0.933028296
5,0.862384867,1.406738968
182,0.882443051,4.641591797
211,0.889183549,0.909520817
237,0.902436255,0.950768805
113,0.941902935,0.995143824
33,0.958000665,0.979777242
73,1.011073725,1.012520624
109,1.011830454,1.012632162
17,1.014981051,1.035556565
148,1.018403161,1.03776813
46,1.031007873,1.053434365
165,1.112318612,1.350696292
